Date,TempMean,TempMax,TempMin,HourTempMax,HourTempMin,HumidityMean,HumidityMax,HumidityMin,HourHumMax,HourHumMin,WindSpeed,WindDir,WindSpeedMax,HourWindMax,WindDirMax,Radiation,RadiationMax,Precipitation,PrecipitationMax,ET0,DPVMin,DPVMax,DPV,DewPointMax,DewPointMin,DewPoint,SunHours
2020-03-01,17.6400,21.5900,14.8300,,,44.2500,55.0300,32.0800,,,3.1600,272.7900,9.5100,,,114.8100,761.2000,0.2000,0.2000,4.0500,0.7690,1.7510,1.1500,6.9600,3.2190,5.1000,9.0000
2020-03-02,18.2100,23.9200,12.0100,,,36.6500,50.5900,15.4300,,,4.8100,415.3100,16.7600,,,201.5900,797.0000,0.0000,0.0000,6.2300,0.7290,2.4540,1.4100,6.2910,-4.2430,2.2600,8.0000
2020-03-03,14.9400,22.2300,5.0500,,,45.8100,68.5200,32.1100,,,2.9000,250.9700,9.7000,,,181.6500,818.0000,0.0000,0.0000,3.8300,0.2760,1.8210,1.0300,6.9900,-0.2610,2.8600,9.0000
2020-03-04,17.1700,23.5300,11.3100,,,53.6100,72.9300,35.7100,,,2.1800,188.7400,7.1930,,,224.5400,797.0000,0.0000,0.0000,3.7700,0.3680,1.8650,0.9800,8.7950,5.6280,7.3500,9.0000
2020-03-05,15.5000,25.1700,4.4200,,,49.5000,85.1300,25.1400,,,2.5700,222.2600,10.4500,,,220.5600,890.0000,0.0000,0.0000,4.2900,0.1240,2.3950,1.1200,6.6290,-0.2680,3.3700,9.0000
2020-03-06,14.2900,18.9900,10.5800,,,32.8900,51.0800,21.0900,,,2.7000,233.1900,10.0700,,,172.8200,1057.0000,0.0000,0.0000,3.9800,0.6270,1.6500,1.1300,0.8840,-5.9440,-2.4300,10.0000
2020-03-07,13.5600,19.8100,7.3300,,,37.1400,76.0300,21.2800,,,2.6900,232.2000,10.7800,,,233.4700,936.0000,0.0000,0.0000,3.9500,0.2470,1.8190,1.0500,5.3530,-5.8160,-2.0000,10.0000
2020-03-08,12.2000,21.2500,2.7500,,,60.1600,83.1800,26.5700,,,1.7700,152.7000,8.6600,,,234.1200,859.0000,0.0000,0.0000,3.3900,0.1540,1.8540,0.7200,7.4240,-0.5800,3.5900,10.0000
2020-03-09,15.9800,23.2400,8.0500,,,41.3400,80.0600,20.7300,,,2.6400,227.7200,8.3100,,,217.0100,890.0000,0.0000,0.0000,4.2900,0.2150,2.2600,1.1600,5.1570,-0.8370,1.9900,10.0000
2020-03-10,15.8700,21.9100,10.0100,,,43.2400,73.5400,23.0100,,,3.2300,279.2600,7.7620,,,225.8200,900.0000,0.0000,0.0000,4.5600,0.3260,2.0230,1.0900,6.8820,-2.4040,2.4300,9.0000
2020-03-11,15.3400,28.6100,5.7300,,,57.3600,84.2700,19.7300,,,1.2000,103.5400,7.6830,,,237.9100,812.0000,0.0000,0.0000,3.8300,0.1450,3.1440,1.0300,8.4860,3.2580,5.4900,10.0000
2020-03-12,15.6600,27.3400,5.8400,,,55.2700,82.5200,21.7800,,,1.0500,90.3400,5.9780,,,220.1700,900.0000,0.0000,0.0000,3.4300,0.1620,2.8000,1.1000,7.3020,2.8960,5.0400,10.0000
2020-03-13,14.1600,21.8300,6.7400,,,59.1400,79.9400,37.1000,,,1.5400,133.4700,7.7030,,,181.2100,1064.0000,0.0000,0.0000,2.9900,0.1980,1.6460,0.7800,7.3670,3.5260,5.6600,10.0000
2020-03-14,14.1200,20.8600,6.3600,,,70.9700,85.0200,42.6000,,,1.4600,125.8200,6.3500,,,235.3500,869.0000,0.0000,0.0000,3.1000,0.1430,1.3820,0.5400,11.1970,4.0290,8.6000,10.0000
2020-03-15,14.5000,19.7400,8.2200,,,72.0200,87.8300,48.5700,,,1.6000,138.2500,7.7810,,,205.9500,982.0000,0.1000,0.1000,2.8400,0.1330,1.1810,0.5100,10.9770,6.3290,9.2400,10.0000
2020-03-16,11.5600,15.6800,7.9100,,,74.7800,89.5800,53.5800,,,2.8600,247.3600,10.1700,,,81.7600,1157.0000,1.7000,0.8000,2.0800,0.1460,0.8030,0.3400,11.3000,2.1550,7.1300,6.0000
2020-03-17,12.2200,15.6500,8.4300,,,69.9200,84.4300,56.8300,,,3.0600,264.4800,7.7220,,,96.6700,1034.0000,1.8000,1.8000,2.2000,0.2490,0.7670,0.4400,11.7170,1.9780,6.7900,6.0000
