Date,TempMean,TempMax,TempMin,HourTempMax,HourTempMin,HumidityMean,HumidityMax,HumidityMin,HourHumMax,HourHumMin,WindSpeed,WindDir,WindSpeedMax,HourWindMax,WindDirMax,Radiation,RadiationMax,Precipitation,PrecipitationMax,ET0,DPVMin,DPVMax,DPV,DewPointMax,DewPointMin,DewPoint,SunHours
2020-03-01,16.8900,21.5400,12.7000,,,44.7000,57.1700,30.6100,,,1.8600,160.5500,8.0600,,,152.7400,1064.0000,0.0000,0.0000,3.2400,0.6300,1.7850,1.1000,6.5060,3.0030,4.5100,10.0000
2020-03-02,17.1600,23.0900,12.0500,,,38.1000,59.6400,16.4300,,,5.0400,435.7200,17.1100,,,212.2000,859.0000,0.1000,0.1000,6.0600,0.6500,2.3410,1.3000,6.4790,-4.1840,1.6800,8.0000
2020-03-03,14.0300,23.5600,3.7800,,,46.5600,73.9500,23.8900,,,2.4100,208.3600,12.3900,,,198.3300,872.0000,0.0000,0.0000,3.9500,0.2090,2.2120,1.0000,5.5720,-1.4490,1.8100,9.0000
2020-03-04,16.2900,23.7700,8.5800,,,53.0800,81.0800,30.6100,,,1.9300,166.4200,7.7820,,,220.6800,861.0000,0.0000,0.0000,3.5900,0.2130,2.0330,1.0200,7.9410,4.3200,5.8000,9.0000
2020-03-05,15.9600,24.9500,6.6400,,,44.8000,78.1100,24.2300,,,2.7400,236.7500,10.3200,,,205.9600,975.0000,0.0000,0.0000,4.3900,0.2140,2.3940,1.1500,4.9730,-0.4440,2.8500,10.0000
2020-03-06,13.3400,16.9800,9.5800,,,33.8600,53.5300,20.9600,,,3.1200,269.2100,14.6900,,,213.0500,1082.0000,0.0000,0.0000,4.0600,0.5570,1.4850,1.0400,0.6040,-6.8280,-2.8300,10.0000
2020-03-07,12.9400,19.0700,6.6300,,,33.8000,47.1700,23.1200,,,2.7500,238.0000,11.6200,,,230.8800,932.0000,0.0000,0.0000,4.1000,0.5170,1.6940,1.0400,-0.0800,-5.8390,-2.9900,10.0000
2020-03-08,14.7900,23.1300,6.3900,,,41.8200,64.7100,21.2500,,,1.7300,149.8800,5.9240,,,241.9600,871.0000,0.0000,0.0000,3.7800,0.3400,2.2180,1.1100,6.1860,-2.6130,0.9100,10.0000
2020-03-09,18.1000,23.6500,13.5600,,,27.3300,44.0100,17.0200,,,3.0000,258.8800,10.7400,,,222.6300,1002.0000,0.0000,0.0000,5.2500,0.8700,2.4190,1.5600,1.9340,-4.1740,-1.6000,10.0000
2020-03-10,16.7800,24.6700,9.7700,,,38.5200,73.5400,19.7300,,,2.0700,179.2500,10.1000,,,230.1600,983.0000,0.0000,0.0000,4.2300,0.3200,2.4430,1.2700,6.4530,-2.9320,1.4000,11.0000
2020-03-11,18.4400,29.4400,9.9100,,,46.4700,72.6600,17.4200,,,1.4300,123.4800,4.7500,,,247.3700,832.0000,0.0000,0.0000,4.3000,0.3360,3.3920,1.4700,8.0850,2.0170,4.8000,10.0000
2020-03-12,17.3900,26.5300,9.1500,,,49.7300,74.1800,25.5400,,,1.2900,111.5100,5.5210,,,232.4200,863.0000,0.0000,0.0000,3.6800,0.3000,2.5820,1.2200,6.2330,4.8000,5.5300,10.0000
2020-03-13,15.0400,21.7600,10.3500,,,54.4300,74.2500,32.7100,,,1.5000,129.4900,6.8180,,,183.5600,1068.0000,0.0000,0.0000,3.1300,0.3380,1.7120,0.8700,6.8630,3.6970,5.3400,10.0000
2020-03-14,14.3600,21.3300,8.2000,,,66.4100,83.4800,41.8400,,,1.4200,123.0000,6.6950,,,235.2500,837.0000,0.0000,0.0000,3.1600,0.1990,1.4760,0.6400,10.0270,5.2550,7.7400,10.0000
2020-03-15,14.6500,19.4700,10.1000,,,69.0800,83.3500,47.9200,,,1.5700,135.4900,5.9590,,,221.2300,903.0000,0.5000,0.5000,2.9800,0.2260,1.1770,0.5600,10.1680,7.1240,8.7800,10.0000
2020-03-16,10.0200,13.5700,5.4900,,,78.1300,90.7700,60.7100,,,1.7600,152.3200,8.7600,,,50.3500,537.9000,1.4000,1.0000,1.3700,0.1290,0.4710,0.2600,10.6030,1.7940,6.3000,4.0000
2020-03-17,11.1900,15.1900,5.6100,,,73.8500,86.7800,58.3000,,,1.2500,108.2700,4.7670,,,81.1800,1068.0000,0.3000,0.2000,1.5600,0.1970,0.7190,0.3600,10.7820,2.0290,6.6200,7.0000
2020-03-18,13.6900,18.2400,9.4100,,,67.5900,88.9200,45.2500,,,1.3900,119.6900,5.5560,,,155.1500,857.0000,0.0000,0.0000,2.4200,0.1330,1.1460,0.5600,9.1030,6.0900,7.4200,10.0000
2020-03-19,12.8700,16.7000,9.5400,,,66.1600,78.4700,47.8000,,,1.6700,144.3800,6.2040,,,114.9800,823.0000,0.0000,0.0000,2.2500,0.2630,0.9920,0.5300,7.9690,5.2190,6.5200,9.0000
2020-03-20,11.9200,14.8800,7.8700,,,70.8600,89.5800,49.1100,,,1.0900,94.4600,5.1700,,,87.6300,458.0000,0.0000,0.0000,1.6600,0.1110,0.8610,0.4400,8.7050,4.3040,6.4900,10.0000
2020-03-21,10.4000,13.8900,7.0700,,,81.8800,87.8200,64.5600,,,1.2100,104.2700,5.5560,,,42.0400,286.9000,17.4000,8.0000,1.2000,0.1300,0.5580,0.2400,9.1670,5.0750,7.3800,3.0000
2020-03-22,9.0200,11.2300,6.5500,,,85.2100,90.2200,76.9100,,,1.1900,102.7300,4.6620,,,63.3600,631.1000,1.3000,0.4000,1.1100,0.1080,0.3080,0.1700,8.2520,4.6810,6.6700,5.0000
2020-03-23,10.6500,14.0300,7.2700,,,84.4400,90.8500,69.5600,,,1.8500,159.6000,8.3100,,,72.7000,1087.0000,17.1000,5.0000,1.4400,0.0990,0.4880,0.2100,9.7620,5.5570,8.0900,6.0000
2020-03-24,10.1100,10.8900,9.2900,,,84.3000,90.1700,69.9200,,,1.8600,160.8300,10.7600,,,24.8500,167.8000,45.4000,8.1000,1.0700,0.1190,0.3700,0.1900,8.9730,4.5280,7.5600,0.0000
2020-03-25,10.3600,14.1200,7.6100,,,70.5500,89.9200,49.5800,,,1.6600,143.6200,6.8180,,,161.6300,1141.0000,3.7000,3.5000,2.2600,0.1100,0.8120,0.4000,6.7240,3.4090,5.0000,10.0000
2020-03-26,11.7300,18.5600,6.0300,,,66.3900,91.6300,25.2500,,,1.3500,116.8200,6.1690,,,207.7800,1014.0000,1.5000,1.0000,3.0200,0.0780,1.5680,0.5800,8.2270,-1.9690,4.2500,11.0000
2020-03-27,8.2700,9.7400,7.1500,,,80.9200,89.6200,73.0200,,,1.2000,104.0900,5.6260,,,28.6300,181.8000,7.5000,1.4000,0.9200,0.1050,0.3250,0.2100,5.7150,4.4740,5.1500,0.0000
2020-03-28,10.0800,16.1200,5.8200,,,69.1500,90.1200,37.0100,,,1.3300,115.0400,5.7840,,,235.1300,1054.0000,5.0000,1.7000,2.8700,0.1000,1.1490,0.4500,6.1380,1.2890,4.0100,11.0000
2020-03-29,12.1600,20.0000,5.4400,,,61.4300,86.6800,31.3100,,,1.5900,137.3900,7.1680,,,272.5700,897.0000,0.0000,0.0000,3.6400,0.1260,1.6060,0.6700,7.2370,1.9690,4.0700,11.0000
2020-03-30,11.0700,16.4200,7.2200,,,77.1500,88.4700,57.4100,,,2.1800,188.5300,6.9580,,,138.4900,1149.0000,2.2000,1.3000,2.2900,0.1280,0.7800,0.3300,9.1730,5.2770,7.0700,7.0000
2020-03-31,12.0600,16.2800,9.3300,,,81.6000,90.1700,66.0900,,,1.2300,106.1600,5.2580,,,113.4300,1027.0000,2.3000,1.1000,1.8000,0.1180,0.6280,0.2800,10.4230,7.3820,8.9400,9.0000
2020-04-01,13.7000,19.5200,9.7100,,,73.7400,90.2800,45.2700,,,1.4400,124.1300,7.1510,,,211.3000,1144.0000,3.0000,1.3000,3.0300,0.1270,1.2420,0.4700,10.4470,6.9450,8.7100,9.0000
2020-04-02,11.4200,17.3600,5.8400,,,73.2800,88.1000,43.9600,,,1.5100,130.8900,7.3080,,,246.1500,1048.0000,0.4000,0.2000,3.1000,0.1190,1.0620,0.4300,8.9280,3.7970,6.3400,10.0000
2020-04-03,12.8000,18.5700,7.7500,,,65.4200,86.0300,42.4300,,,1.6800,144.7300,6.3800,,,245.3100,1287.0000,0.0000,0.0000,3.3400,0.1470,1.2310,0.5800,7.2530,4.8880,6.0200,11.0000
2020-04-04,11.4100,17.7700,5.0800,,,73.5000,90.2700,43.2100,,,1.5900,137.0600,6.3620,,,195.6000,1086.0000,0.0000,0.0000,2.8300,0.0860,1.1550,0.4300,8.9350,3.5170,6.4100,9.0000
2020-04-05,12.4400,17.3600,7.5600,,,73.0400,91.3500,50.3000,,,1.3600,117.1000,5.6960,,,238.6100,1257.0000,0.0000,0.0000,3.0000,0.0950,0.9390,0.4500,8.5770,6.0490,7.3700,10.0000
