Date,TempMean,TempMax,TempMin,HourTempMax,HourTempMin,HumidityMean,HumidityMax,HumidityMin,HourHumMax,HourHumMin,WindSpeed,WindDir,WindSpeedMax,HourWindMax,WindDirMax,Radiation,RadiationMax,Precipitation,PrecipitationMax,ET0,DPVMin,DPVMax,DPV,DewPointMax,DewPointMin,DewPoint,SunHours
2020-04-30,19.9654,20.6667,19.2562,,,48.5867,51.8038,45.5921,,,1.8102,254.2500,4.0119,,,294.9356,,0.0000,,,,,,,,,
2020-05-01,21.3650,22.3292,20.5983,,,52.5883,55.7742,48.6604,,,1.6608,333.0000,3.3888,,,324.7883,,0.0000,,,,,,,,,
2020-05-02,23.7846,24.4533,23.1029,,,50.4058,53.3800,47.7112,,,1.3814,221.2500,2.7498,,,337.7188,,0.0000,,,,,,,,,
2020-05-03,22.7667,23.4479,22.1058,,,54.3613,57.5425,51.4013,,,1.3065,158.0000,2.6369,,,340.1090,,0.0000,,,,,,,,,
2020-05-04,22.0500,22.6758,21.4296,,,54.6238,57.4354,51.9013,,,1.1164,120.0000,2.3075,,,313.2790,,0.0000,,,,,,,,,
2020-05-05,23.0687,23.7167,22.3433,,,50.6950,54.0675,47.5796,,,1.1745,172.5000,2.4904,,,315.2483,,0.0000,,,,,,,,,
2020-05-06,21.5821,22.1604,21.0150,,,57.6083,60.7575,54.4433,,,1.2670,318.0000,2.6731,,,311.7400,,0.0000,,,,,,,,,
2020-05-07,20.6279,21.2288,20.0500,,,56.6167,59.6067,53.8483,,,1.6980,164.7500,3.5294,,,272.4437,,0.0000,,,,,,,,,
2020-05-08,20.0521,20.7067,19.2679,,,62.0829,65.9446,58.5525,,,1.5818,,3.4300,,,314.4025,,0.0000,,,,,,,,,
2020-05-09,19.6504,20.0533,19.2208,,,75.4087,77.4617,73.3054,,,1.4886,,3.0622,,,249.0628,,0.0000,,,,,,,,,
2020-05-10,19.2413,19.7613,18.6533,,,54.1217,56.9879,51.5050,,,2.3710,307.0000,5.0104,,,278.3407,,0.0000,,,,,,,,,
2020-05-11,21.0554,21.7433,20.3208,,,45.3192,48.2879,42.8738,,,1.4945,,3.3622,,,332.1478,,0.0000,,,,,,,,,
2020-05-12,18.2904,19.0129,17.5933,,,61.3767,65.9792,57.5163,,,1.5251,165.1667,3.5023,,,185.7645,,0.0415,,,,,,,,,
2020-05-13,17.7058,18.3304,16.9542,,,56.0554,59.5921,53.0488,,,1.2410,247.5000,2.7607,,,345.5901,,0.0000,,,,,,,,,
