Date,TempMean,TempMax,TempMin,HourTempMax,HourTempMin,HumidityMean,HumidityMax,HumidityMin,HourHumMax,HourHumMin,WindSpeed,WindDir,WindSpeedMax,HourWindMax,WindDirMax,Radiation,RadiationMax,Precipitation,PrecipitationMax,ET0,DPVMin,DPVMax,DPV,DewPointMax,DewPointMin,DewPoint,SunHours
2020-04-30,19.3071,20.3938,18.2025,,,58.1679,64.0208,52.3817,,,1.1124,,3.1785,,,292.9283,,0.0000,,,,,,,,,
2020-05-01,21.3204,22.2529,20.4442,,,54.6858,58.8275,50.8525,,,1.7119,266.0000,3.8653,,,304.6658,,0.0000,,,,,,,,,
2020-05-02,23.3396,24.3738,22.3600,,,54.5087,59.9625,49.5183,,,1.1296,,2.7987,,,314.4096,,0.0000,,,,,,,,,
2020-05-03,22.6787,23.6575,21.6396,,,56.4450,60.7454,51.9908,,,1.2539,146.5000,2.9221,,,318.8025,,0.0000,,,,,,,,,
2020-05-04,22.2892,23.3192,21.3633,,,55.1642,59.3858,51.0171,,,1.2796,,2.9627,,,307.6758,,0.0000,,,,,,,,,
2020-05-05,23.4908,24.4275,22.4792,,,51.8904,57.2654,47.7812,,,0.8601,,2.4851,,,300.4408,,0.0000,,,,,,,,,
2020-05-06,22.2042,23.1350,21.3571,,,54.2521,58.7996,49.3025,,,1.2930,146.0000,3.1237,,,298.1508,,0.0000,,,,,,,,,
2020-05-07,20.8663,21.6175,20.1392,,,58.1208,61.7879,54.7504,,,1.6034,,3.5643,,,248.6712,,0.0000,,,,,,,,,
2020-05-08,20.3958,21.2692,19.5375,,,62.8621,67.3375,58.4925,,,1.5068,,3.8636,,,283.1096,,0.0000,,,,,,,,,
2020-05-09,20.2746,21.1717,19.5246,,,72.2154,75.6867,68.5537,,,1.1627,,3.2651,,,263.7904,,0.0000,,,,,,,,,
2020-05-10,20.0050,20.8442,19.2063,,,53.3413,57.5192,49.6413,,,1.7696,,4.5020,,,232.6029,,0.0000,,,,,,,,,
2020-05-11,21.7721,22.6704,20.8533,,,45.3521,49.0762,42.1954,,,1.8840,,4.6011,,,326.1308,,0.0000,,,,,,,,,
2020-05-12,18.9062,19.8792,18.1008,,,61.9517,67.6854,55.7788,,,1.1020,,3.1794,,,159.2738,,0.0542,,,,,,,,,
2020-05-13,17.8392,18.8254,16.9592,,,57.2996,62.3354,52.2050,,,1.0094,,3.1115,,,321.5825,,0.0000,,,,,,,,,
2020-05-14,16.7292,17.4671,15.9663,,,70.7825,76.7596,64.6900,,,1.2131,,3.7640,,,215.1238,,0.5917,,,,,,,,,
2020-05-15,16.3821,16.9821,15.8217,,,73.8362,78.5950,69.1267,,,0.9514,,2.3405,,,106.6375,,0.0000,,,,,,,,,
2020-05-16,17.5512,18.3637,16.7696,,,71.3167,76.2013,67.3025,,,0.8902,,2.8452,,,213.7596,,0.0000,,,,,,,,,
2020-05-17,17.5154,18.4158,16.7321,,,77.0588,81.1983,72.5233,,,1.0557,,2.8958,,,193.2912,,0.0208,,,,,,,,,
2020-05-18,21.3525,22.3621,20.4242,,,56.8746,61.5513,52.3908,,,1.3066,,3.6309,,,334.0983,,0.0000,,,,,,,,,
2020-05-19,22.9642,23.9850,21.9900,,,54.1675,58.9533,50.3779,,,1.1514,,2.8060,,,332.4317,,0.0000,,,,,,,,,
2020-05-20,24.3908,25.4371,23.3879,,,54.3758,59.2450,49.7808,,,1.0137,137.0000,2.7416,,,332.5038,,0.0000,,,,,,,,,
2020-05-21,23.8421,24.7846,22.9729,,,59.4133,63.0958,55.7367,,,1.2743,138.0000,2.8403,,,326.4087,,0.0000,,,,,,,,,
2020-05-22,24.3554,25.3367,23.4483,,,56.7592,60.3392,52.9875,,,1.1352,,2.7938,,,326.0975,,0.0000,,,,,,,,,
2020-05-23,24.0088,24.9983,23.1288,,,48.6208,52.1525,45.1521,,,1.1790,,2.8404,,,320.7983,,0.0000,,,,,,,,,
2020-05-24,22.0138,22.7850,21.2921,,,56.5517,60.5167,53.0108,,,1.7316,138.0000,3.9052,,,330.2512,,0.0000,,,,,,,,,
2020-05-25,21.1321,21.9829,20.3917,,,55.1438,58.7988,51.9225,,,1.5592,141.0000,3.3670,,,297.3738,,0.0000,,,,,,,,,
2020-05-26,21.0712,21.9229,20.2892,,,59.3183,63.1025,55.2554,,,1.6432,,3.6415,,,309.6767,,0.0000,,,,,,,,,
2020-05-27,21.8908,22.7133,21.1188,,,57.8854,61.7075,54.5850,,,2.0296,,4.3595,,,324.4363,,0.0000,,,,,,,,,
2020-05-28,20.6254,21.5463,19.7150,,,55.1513,60.1046,50.8338,,,1.7418,,4.0526,,,251.4183,,0.0292,,,,,,,,,
