Date,TempMean,TempMax,TempMin,HourTempMax,HourTempMin,HumidityMean,HumidityMax,HumidityMin,HourHumMax,HourHumMin,WindSpeed,WindDir,WindSpeedMax,HourWindMax,WindDirMax,Radiation,RadiationMax,Precipitation,PrecipitationMax,ET0,DPVMin,DPVMax,DPV,DewPointMax,DewPointMin,DewPoint,SunHours
2020-03-01,16.7200,21.7400,11.3800,,,62.9200,82.3000,42.1000,,,1.5300,132.1300,6.3700,,,123.1700,922.0000,0.0000,0.0000,2.4500,0.2380,1.5080,0.7700,11.4100,8.0280,9.2700,9.0000
2020-03-02,18.9800,25.9600,13.9500,,,44.2900,68.7000,20.1900,,,4.6100,398.6200,15.1900,,,194.5600,851.0000,0.0000,0.0000,6.0800,0.5050,2.6110,1.3400,10.2480,0.3730,5.4600,9.0000
2020-03-03,14.9200,22.2000,5.9200,,,57.3500,82.7300,37.6700,,,1.8500,159.5700,8.1300,,,179.8700,808.0000,0.0000,0.0000,3.0100,0.1610,1.6720,0.8200,10.6370,1.2270,6.1400,9.0000
2020-03-04,17.4300,24.2400,12.0200,,,63.4800,79.9700,45.3800,,,1.5300,131.8100,7.2500,,,211.4900,784.0000,0.0000,0.0000,3.1700,0.2870,1.6280,0.8200,12.4820,7.6650,10.0600,10.0000
2020-03-05,16.7600,23.2500,8.2100,,,57.4900,87.8300,34.2900,,,2.0800,179.5600,8.8200,,,209.0200,984.0000,0.0000,0.0000,3.4600,0.1330,1.6220,0.9400,11.2750,3.3690,7.6200,9.0000
2020-03-06,14.6600,19.9800,9.1000,,,42.1900,68.4900,24.4100,,,2.9100,251.1500,16.2700,,,171.8600,965.0000,0.0000,0.0000,3.8600,0.3650,1.6910,1.0300,4.1970,-3.2080,1.0400,10.0000
2020-03-07,14.1800,20.6000,9.0200,,,45.4400,84.1700,27.3800,,,2.8600,247.2200,11.2700,,,220.1400,847.0000,0.0000,0.0000,3.8800,0.1930,1.7550,0.9500,8.1000,-2.2290,1.5700,10.0000
2020-03-08,14.4400,22.9400,6.6500,,,61.2900,88.3300,29.5100,,,2.2500,194.4000,10.1900,,,231.7600,869.0000,0.0000,0.0000,3.8000,0.1150,1.9440,0.8100,8.6730,3.1390,5.9200,10.0000
2020-03-09,17.3400,24.3600,11.6600,,,46.0500,73.1500,25.8900,,,2.1500,185.7700,8.7200,,,194.5500,800.0000,0.0000,0.0000,3.9800,0.3840,2.2450,1.1400,8.2820,2.7180,5.0600,10.0000
2020-03-10,15.2800,19.6400,10.4800,,,63.5300,80.7500,41.3000,,,1.7500,151.0600,8.3300,,,210.6300,824.0000,0.0000,0.0000,3.0400,0.2590,1.1670,0.6700,11.3670,2.0330,8.0900,10.0000
