date,10cm,20cm,30cm,40cm,50cm,60cm
2022-04-08 11:30:00+00:00,45.179,40.762,42.784,47.367,50.421,49.168
2022-04-08 12:00:00+00:00,45.453,40.736,42.791,47.359,50.362,49.185
2022-04-08 12:00:00+00:00,45.302,40.755,42.797,47.352,50.404,49.194
2022-04-08 12:00:00+00:00,45.323,40.749,42.803,47.375,50.413,49.203
2022-04-08 12:00:00+00:00,45.302,40.755,42.803,47.359,50.396,49.185
2022-04-08 12:00:00+00:00,45.275,40.749,42.791,47.375,50.396,49.177
2022-04-08 12:00:00+00:00,45.412,40.755,42.803,47.352,50.371,49.194
2022-04-08 12:00:00+00:00,45.521,40.71,42.791,47.329,50.362,49.185
2022-04-08 12:00:00+00:00,45.316,40.736,42.803,47.367,50.396,49.185
2022-04-08 12:00:00+00:00,45.487,40.723,42.797,47.329,50.362,49.194
2022-04-08 12:00:00+00:00,45.487,40.716,42.797,47.337,50.362,49.185
2022-04-08 12:00:00+00:00,45.528,40.71,42.823,47.329,50.362,49.185
2022-04-08 12:00:00+00:00,45.7,40.729,42.823,47.329,50.371,49.185
2022-04-08 12:00:00+00:00,45.707,40.716,42.823,47.322,50.387,49.177
2022-04-08 12:00:00+00:00,45.693,40.71,42.829,47.322,50.371,49.185
2022-04-08 12:00:00+00:00,45.466,40.736,42.797,47.352,50.362,49.177
2022-04-08 12:30:00+00:00,45.776,40.69,42.855,47.322,50.387,49.159
2022-04-08 12:30:00+00:00,45.686,40.703,42.842,47.322,50.354,49.177
2022-04-08 12:30:00+00:00,45.727,40.703,42.842,47.314,50.362,49.177
2022-04-08 12:30:00+00:00,45.734,40.697,42.836,47.314,50.354,49.168
2022-04-08 12:30:00+00:00,45.755,40.697,42.842,47.314,50.371,49.168
2022-04-08 12:30:00+00:00,45.769,40.677,42.836,47.299,50.337,49.168
2022-04-08 12:30:00+00:00,45.844,40.664,42.868,47.344,50.345,49.15
2022-04-08 12:30:00+00:00,45.796,40.671,42.842,47.314,50.362,49.159
2022-04-08 12:30:00+00:00,45.824,40.658,42.842,47.329,50.354,49.15
2022-04-08 12:30:00+00:00,45.824,40.664,42.842,47.299,50.371,49.15
2022-04-08 12:30:00+00:00,45.831,40.658,42.849,47.314,50.354,49.15
2022-04-08 12:30:00+00:00,45.851,40.664,42.855,47.314,50.362,49.142
2022-04-08 12:30:00+00:00,45.796,40.671,42.836,47.314,50.371,49.159
2022-04-08 12:30:00+00:00,45.844,40.658,42.855,47.292,50.362,49.142
2022-04-08 12:30:00+00:00,45.81,40.658,42.836,47.292,50.354,49.159
2022-04-08 13:00:00+00:00,45.851,40.671,42.861,47.307,50.337,49.142
2022-04-08 13:00:00+00:00,45.851,40.671,42.855,47.299,50.354,49.15
2022-04-08 13:00:00+00:00,45.865,40.639,42.868,47.329,50.345,49.142
2022-04-08 13:30:00+00:00,45.927,40.652,42.894,47.292,50.329,49.124
2022-04-08 14:00:00+00:00,45.92,40.658,42.887,47.292,50.345,49.116
2022-04-08 14:30:00+00:00,45.941,40.684,42.932,47.307,50.32,49.142
2022-04-08 15:00:00+00:00,45.872,40.703,42.945,47.314,50.329,49.142
2022-04-08 15:30:00+00:00,45.844,40.703,42.978,47.344,50.329,49.142
2022-04-08 16:00:00+00:00,45.727,40.703,42.991,47.344,50.345,49.142
2022-04-08 16:30:00+00:00,45.562,40.723,43.029,47.359,50.337,49.159
2022-04-08 17:00:00+00:00,45.405,40.723,43.042,47.359,50.345,49.159
2022-04-08 17:30:00+00:00,45.24,40.742,43.055,47.39,50.362,49.159
2022-04-08 18:00:00+00:00,45.118,40.742,43.081,47.397,50.387,49.168
2022-04-08 18:30:00+00:00,44.981,40.736,43.094,47.442,50.387,49.159
2022-04-08 19:00:00+00:00,44.893,40.723,43.114,47.442,50.387,49.168
2022-04-08 19:30:00+00:00,44.818,40.736,43.107,47.442,50.404,49.177
2022-04-08 20:00:00+00:00,44.743,40.716,43.146,47.457,50.421,49.185
2022-04-08 20:30:00+00:00,44.668,40.703,43.146,47.487,50.421,49.168
2022-04-08 21:00:00+00:00,44.641,40.71,43.191,47.51,50.413,49.194
2022-04-08 21:30:00+00:00,44.614,40.684,43.172,47.525,50.421,49.177
2022-04-08 22:00:00+00:00,44.553,40.69,43.191,47.548,50.421,49.185
2022-04-08 22:30:00+00:00,44.485,40.671,43.178,47.548,50.446,49.194
2022-04-08 23:00:00+00:00,44.452,40.658,43.198,47.578,50.471,49.203
2022-04-08 23:30:00+00:00,44.425,40.658,43.198,47.593,50.48,49.212
2022-04-09 00:00:00+00:00,44.404,40.645,43.211,47.615,50.488,49.22
2022-04-09 00:30:00+00:00,44.33,40.626,43.224,47.63,50.497,49.229
2022-04-09 01:00:00+00:00,44.31,40.626,43.217,47.653,50.513,49.238
2022-04-09 01:30:00+00:00,44.269,40.626,43.217,47.623,50.505,49.247
2022-04-09 02:00:00+00:00,44.256,40.613,43.224,47.645,50.505,49.255
2022-04-09 02:30:00+00:00,44.235,40.613,43.23,47.638,50.497,49.264
2022-04-09 03:00:00+00:00,44.195,40.613,43.243,47.661,50.53,49.255
2022-04-09 03:30:00+00:00,44.161,40.593,43.211,47.668,50.53,49.273
2022-04-09 04:00:00+00:00,44.141,40.587,43.23,47.676,50.555,49.238
2022-04-09 04:30:00+00:00,44.101,40.593,43.23,47.691,50.555,49.281
2022-04-09 05:00:00+00:00,44.08,40.567,43.23,47.698,50.581,49.264
